,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
88,ITF Men,Mick Veldheer (NED) vs Michal Krajci (SVK),Mick Veldheer (NED),Michal Krajci (SVK),1.36,2.8,2022-11-30 11:15,2022-11-30 11:15
89,ITF Men,Roy Smith (USA) vs Andrea Guerrieri (ITA),Roy Smith (USA),Andrea Guerrieri (ITA),1.6,2.15,2022-11-30 13:15,2022-11-30 13:15
90,ITF Men,Pavel Nejedly (CZE) vs Jan Kupcic (SLO),Pavel Nejedly (CZE),Jan Kupcic (SLO),1.3,3.1,2022-11-30 13:15,2022-11-30 13:15
91,ITF Men,Florian Broska (GER) vs Peter Nad (SVK),Florian Broska (GER),Peter Nad (SVK),1.16,4.4,2022-11-30 13:15,2022-11-30 13:15
92,ITF Men,Joao Victor Couto Loureiro (BRA) vs Pedro Boscardin Dias (BRA),Joao Victor Couto Loureiro (BRA),Pedro Boscardin Dias (BRA),1.33,3.0,2022-11-29 20:58,2022-11-30 02:15
93,ITF Men,Fernando Yamacita (BRA) vs Victor Tosetto (BRA),Fernando Yamacita (BRA),Victor Tosetto (BRA),1.02,9.5,2022-11-29 21:01,2022-11-30 02:15
94,ITF Men,Gustavo Heide (BRA) vs Paulo Andre Saraiva Dos Santos (BRA),Gustavo Heide (BRA),Paulo Andre Saraiva Dos Santos (BRA),1.05,7.25,2022-11-30 13:15,2022-11-30 13:15
95,ITF Men,Marcelo Zormann (BRA) vs Nicolas Zanellato (BRA),Marcelo Zormann (BRA),Nicolas Zanellato (BRA),1.65,2.05,2022-11-30 21:15,2022-11-30 21:15
96,ITF Men,G. R. de Almeida/M. A. De Lima vs M. Alves/G. Roveri Sidney,G. R. de Almeida/M. A. De Lima,M. Alves/G. Roveri Sidney,6.75,1.05,2022-11-29 23:15,2022-11-29 23:15
97,ITF Men,L. Carnevalle/F. Mirgone vs T. Guglieri/G. Tedesco,L. Carnevalle/F. Mirgone,T. Guglieri/G. Tedesco,1.17,4.1,2022-11-29 23:15,2022-11-29 23:15
98,ITF Men,I. Gimenez/G. Lomakin vs J. E. Schiessl/V. Tosetto,I. Gimenez/G. Lomakin,J. E. Schiessl/V. Tosetto,1.2,3.75,2022-11-30 19:15,2022-11-30 19:15
99,ITF Men,E. Bogo/H. J. Escurra Isnardi vs J. V. Couto Loureiro/G. Heide,E. Bogo/H. J. Escurra Isnardi,J. V. Couto Loureiro/G. Heide,5.75,1.08,2022-11-30 19:15,2022-11-30 19:15
100,ITF Men,R. Augusto dos Santos/N. Oliveira vs G. P. Tumasonis/F. Yamacita,R. Augusto dos Santos/N. Oliveira,G. P. Tumasonis/F. Yamacita,7.0,1.05,2022-11-30 19:15,2022-11-30 19:15
101,ITF Men,V. M. Alves/M. Cury Bueres vs P. Boscardin Dias/E. Ribeiro,V. M. Alves/M. Cury Bueres,P. Boscardin Dias/E. Ribeiro,6.0,1.07,2022-11-30 23:15,2022-11-30 23:15
102,ITF Men,T. Franco/F. Roncadelli vs L. Pinto/P. A. Saraiva Dos Santos,T. Franco/F. Roncadelli,L. Pinto/P. A. Saraiva Dos Santos,1.33,2.9,2022-11-30 23:15,2022-11-30 23:15
103,ITF Men,D. Sakellaridis/S. Sakellaridis vs S. Parker/A. Setkic,D. Sakellaridis/S. Sakellaridis,S. Parker/A. Setkic,5.25,1.1,2022-11-30 15:15,2022-11-30 15:15
104,ITF Men,J. Barnat/M. Vrbensky vs A. Shelbayh/C. Wong,J. Barnat/M. Vrbensky,A. Shelbayh/C. Wong,1.53,2.25,2022-11-30 15:15,2022-11-30 15:15
105,ITF Men,M. Karol/L. Pokorny vs D. Rincon/D. Vallejo,M. Karol/L. Pokorny,D. Rincon/D. Vallejo,1.57,2.15,2022-11-30 15:15,2022-11-30 15:15
106,ITF Men,S. Kyjaci/T. Lanik vs A. Jurajda/D. Siniakov,S. Kyjaci/T. Lanik,A. Jurajda/D. Siniakov,4.75,1.12,2022-11-30 17:15,2022-11-30 17:15
107,ITF Men,R. Smith/G. Tresca vs S. Kopp/K. Lemstra,R. Smith/G. Tresca,S. Kopp/K. Lemstra,3.0,1.3,2022-11-30 17:15,2022-11-30 17:15
